Date,Temperature,Rainfall,WaterContent,Month,Season,Rainfall_7d_avg,WaterContent_7d_avg,PremiseIndex
2017-03-01,29.96,23.62,46.57,3,Dry,11.4,36.95,9.26
2017-03-02,29.28,10.2,35.19,3,Dry,12.21,37.09,5.5
2017-03-03,30.93,8.41,36.51,3,Dry,13.15,39.17,6.09
2017-03-04,29.01,2.35,46.27,3,Dry,11.27,40.78,5.58
2017-03-05,30.07,7.56,41.34,3,Dry,10.73,40.62,5.4
2017-03-06,30.18,3.68,31.64,3,Dry,10.59,40.36,6.13
2017-03-07,29.88,7.87,25.48,3,Dry,9.1,37.57,6.07
2017-03-08,30.99,17.02,39.43,3,Dry,8.16,36.55,6.7
2017-03-09,30.57,13.3,31.44,3,Dry,8.6,36.01,6.64
2017-03-10,30.45,18.64,36.95,3,Dry,10.06,36.08,7.08
2017-03-11,30.07,7.09,16.97,3,Dry,10.74,31.89,2.69
2017-03-12,31.86,2.97,32.26,3,Dry,10.08,30.59,4.9
2017-03-13,31.46,6.87,56.18,3,Dry,10.54,34.1,9.23
2017-03-14,30.92,10.23,40.15,3,Dry,10.88,36.2,6.38
2017-03-15,30.76,19.18,52.62,3,Dry,11.18,38.08,10.25
2017-03-16,29.4,15.08,51.66,3,Dry,11.44,40.97,5.67
2017-03-17,29.95,2.01,28.74,3,Dry,9.06,39.8,5.55
2017-03-18,30.64,10.01,35.81,3,Dry,9.48,42.49,6.47
2017-03-19,31.05,16.92,29.57,3,Dry,11.47,42.1,6.1
2017-03-20,30.89,20.07,48.03,3,Dry,13.36,40.94,8.7
2017-03-21,30.58,17.79,44.79,3,Dry,14.44,41.6,6.12
2017-03-22,32.0,5.07,25.49,3,Dry,12.42,37.73,4.51
2017-03-23,29.86,5.28,45.71,3,Dry,11.02,36.88,6.98
2017-03-24,31.01,26.05,43.07,3,Dry,14.45,38.92,10.02
2017-03-25,30.89,6.17,63.41,3,Dry,13.91,42.87,8.7
2017-03-26,30.44,23.4,52.75,3,Dry,14.83,46.18,9.04
2017-03-27,30.48,4.19,33.13,3,Dry,12.56,44.05,5.41
2017-03-28,30.46,7.87,55.68,3,Dry,11.14,45.61,9.56
2017-03-29,29.29,1.26,8.18,3,Dry,10.6,43.13,3.19
2017-03-30,30.4,7.46,33.11,3,Dry,10.91,41.33,5.32
2017-03-31,30.75,4.51,29.27,3,Dry,7.84,39.36,5.42
2017-04-01,29.79,13.36,38.88,4,Dry,8.86,35.86,6.45
2017-04-02,27.62,13.29,42.89,4,Dry,7.42,34.45,7.47
2017-04-03,27.88,11.69,37.25,4,Dry,8.49,35.04,5.14
2017-04-04,28.65,4.69,47.76,4,Dry,8.04,33.91,5.95
2017-04-05,29.35,18.7,49.31,4,Dry,10.53,39.78,7.88
2017-04-06,28.7,8.91,41.96,4,Dry,10.74,41.05,5.28
2017-04-07,30.11,14.11,45.91,4,Dry,12.11,43.42,8.29
2017-04-08,30.66,17.86,31.4,4,Dry,12.75,42.36,7.03
2017-04-09,30.8,9.64,39.73,4,Dry,12.23,41.9,6.89
2017-04-10,29.8,2.71,34.53,4,Dry,10.94,41.52,5.37
2017-04-11,30.55,10.44,27.11,4,Dry,11.77,38.57,3.85
2017-04-12,28.9,7.53,44.89,4,Dry,10.17,37.93,6.27
2017-04-13,29.31,4.32,13.08,4,Dry,9.52,33.81,2.42
2017-04-14,28.3,21.74,72.59,4,Dry,10.61,37.62,9.9
2017-04-15,30.67,6.93,35.17,4,Dry,9.05,38.16,5.5
2017-04-16,31.43,12.76,31.65,4,Dry,9.49,37.0,6.17
2017-04-17,29.12,14.86,48.07,4,Dry,11.23,38.94,9.76
2017-04-18,27.29,10.45,44.62,4,Dry,11.23,41.44,7.39
2017-04-19,28.51,6.36,55.55,4,Dry,11.06,42.96,8.44
2017-04-20,28.81,2.45,49.78,4,Dry,10.79,48.2,7.6
2017-04-21,28.14,11.6,25.98,4,Dry,9.34,41.55,3.31
2017-04-22,28.43,6.97,32.88,4,Dry,9.35,41.22,5.59
2017-04-23,29.67,25.61,41.39,4,Dry,11.19,42.61,8.39
2017-04-24,30.12,5.17,41.56,4,Dry,9.8,41.68,9.06
2017-04-25,27.4,1.3,45.19,4,Dry,8.49,41.76,6.17
2017-04-26,28.93,3.37,19.53,4,Dry,8.07,36.62,3.8
2017-04-27,29.5,17.77,43.58,4,Dry,10.26,35.73,7.23
2017-04-28,28.4,15.18,35.82,4,Dry,10.77,37.14,5.14
2017-04-29,29.7,21.63,55.75,4,Dry,12.86,40.4,10.59
2017-04-30,29.35,7.62,40.19,4,Dry,10.29,40.23,7.22
2017-05-01,27.55,33.91,68.89,5,Dry,14.4,44.14,12.92
2017-05-02,27.14,30.1,49.87,5,Dry,18.51,44.8,9.17
2017-05-03,28.27,25.48,49.22,5,Dry,21.67,49.05,11.71
2017-05-04,27.24,28.86,57.03,5,Dry,23.25,50.97,10.11
2017-05-05,26.27,26.61,48.58,5,Dry,24.89,52.79,11.32
2017-05-06,28.02,40.83,65.65,5,Dry,27.63,54.2,16.29
2017-05-07,26.76,25.45,63.06,5,Dry,30.18,57.47,11.83
2017-05-08,26.35,42.83,85.6,5,Dry,31.45,59.86,16.3
2017-05-09,28.13,25.18,45.26,5,Dry,30.75,59.2,11.32
2017-05-10,27.84,26.61,72.77,5,Dry,30.91,62.56,13.95
2017-05-11,27.13,29.17,48.31,5,Dry,30.95,61.32,10.41
2017-05-12,28.23,24.99,58.68,5,Dry,30.72,62.76,12.96
2017-05-13,28.42,29.11,48.35,5,Dry,29.05,60.29,10.76
2017-05-14,28.24,30.01,43.71,5,Dry,29.7,57.52,11.75
2017-05-15,28.2,40.12,74.32,5,Dry,29.31,55.91,14.16
2017-05-16,26.39,21.28,46.53,5,Dry,28.76,56.1,12.18
2017-05-17,29.29,25.21,63.01,5,Dry,28.56,54.7,11.79
2017-05-18,28.56,44.75,73.32,5,Dry,30.78,58.27,15.36
2017-05-19,27.05,26.51,55.32,5,Dry,31.0,57.79,13.07
2017-05-20,27.99,26.5,56.72,5,Dry,30.63,58.99,11.21
2017-05-21,28.18,24.95,60.85,5,Dry,29.9,61.44,13.19
2017-05-22,27.96,33.7,66.23,5,Dry,28.99,60.28,15.43
2017-05-23,29.79,22.28,43.78,5,Dry,29.13,59.89,9.18
2017-05-24,26.05,31.22,59.2,5,Dry,29.99,59.34,13.24
2017-05-25,26.52,47.13,82.71,5,Dry,30.33,60.68,17.22
2017-05-26,25.7,21.77,47.87,5,Dry,29.65,59.62,11.88
2017-05-27,28.08,33.81,52.11,5,Dry,30.69,58.96,11.34
2017-05-28,28.54,23.21,42.35,5,Dry,30.44,56.32,9.14
2017-05-29,28.36,31.69,63.84,5,Dry,30.16,55.98,13.93
2017-05-30,27.71,31.01,52.41,5,Dry,31.4,57.21,12.61
2017-05-31,28.41,34.46,61.19,5,Dry,31.87,57.5,13.84
2017-06-01,25.7,15.88,39.82,6,Wet,27.4,51.37,9.28
2017-06-02,26.74,16.12,54.63,6,Wet,26.6,52.34,9.85
2017-06-03,27.11,24.73,51.29,6,Wet,25.3,52.22,11.09
2017-06-04,25.07,15.84,56.95,6,Wet,24.25,54.31,11.02
2017-06-05,25.71,25.9,64.64,6,Wet,23.42,54.42,11.6
2017-06-06,25.87,10.92,37.85,6,Wet,20.55,52.34,9.91
2017-06-07,27.43,20.54,59.77,6,Wet,18.56,52.14,11.46
2017-06-08,25.19,25.23,46.8,6,Wet,19.9,53.13,8.85
2017-06-09,27.1,17.63,46.77,6,Wet,20.11,52.01,10.13
2017-06-10,24.53,30.66,46.73,6,Wet,20.96,51.36,9.41
2017-06-11,27.24,16.04,48.77,6,Wet,20.99,50.19,10.25
2017-06-12,26.85,20.26,49.22,6,Wet,20.18,47.99,10.78
2017-06-13,25.84,26.98,56.73,6,Wet,22.48,50.68,10.39
2017-06-14,26.92,13.53,27.22,6,Wet,21.48,46.03,7.66
2017-06-15,25.5,27.96,32.48,6,Wet,21.87,43.99,8.63
2017-06-16,25.08,21.12,35.57,6,Wet,22.37,42.39,8.69
2017-06-17,27.71,14.78,46.82,6,Wet,20.1,42.4,10.41
2017-06-18,25.46,18.58,51.59,6,Wet,20.46,42.8,8.96
2017-06-19,26.68,14.46,52.86,6,Wet,19.63,43.32,8.27
2017-06-20,27.11,23.09,44.42,6,Wet,19.07,41.57,7.81
2017-06-21,26.81,17.18,45.83,6,Wet,19.6,44.22,7.78
2017-06-22,26.6,16.53,36.21,6,Wet,17.96,44.76,7.43
2017-06-23,26.68,23.37,62.37,6,Wet,18.28,48.59,11.48
2017-06-24,27.06,17.51,36.91,6,Wet,18.67,47.17,8.21
2017-06-25,26.32,18.89,56.9,6,Wet,18.72,47.93,11.0
2017-06-26,25.96,18.44,42.24,6,Wet,19.29,46.41,8.5
2017-06-27,24.63,11.23,54.74,6,Wet,17.59,47.89,10.65
2017-06-28,26.32,12.68,41.97,6,Wet,16.95,47.33,7.65
2017-06-29,27.03,15.27,43.83,6,Wet,16.77,48.42,11.26
2017-06-30,24.9,15.57,34.92,6,Wet,15.66,44.5,7.71
2017-07-01,23.77,11.1,60.55,7,Wet,14.74,47.88,8.63
2017-07-02,24.43,18.88,55.01,7,Wet,14.74,47.61,8.49
2017-07-03,25.51,17.95,49.48,7,Wet,14.67,48.64,9.57
2017-07-04,22.84,19.62,48.09,7,Wet,15.87,47.69,8.72
2017-07-05,24.79,16.85,36.88,7,Wet,16.46,46.96,8.36
2017-07-06,23.64,32.35,62.62,7,Wet,18.9,49.65,12.39
2017-07-07,23.33,22.3,47.17,7,Wet,19.87,51.4,9.58
2017-07-08,23.08,34.23,57.96,7,Wet,23.17,51.03,11.05
2017-07-09,23.34,13.51,49.72,7,Wet,22.4,50.27,7.68
2017-07-10,24.5,16.71,46.21,7,Wet,22.23,49.81,8.69
2017-07-11,23.77,15.65,42.7,7,Wet,21.66,49.04,9.46
2017-07-12,24.71,12.14,54.07,7,Wet,20.98,51.49,9.88
2017-07-13,22.88,17.65,35.93,7,Wet,18.88,47.68,6.42
2017-07-14,24.7,11.02,22.27,7,Wet,17.27,44.12,5.61
2017-07-15,24.43,22.99,40.43,7,Wet,15.67,41.62,8.39
2017-07-16,22.49,28.98,54.7,7,Wet,17.88,42.33,9.16
2017-07-17,25.51,17.32,50.8,7,Wet,17.96,42.99,9.05
2017-07-18,24.34,19.56,38.2,7,Wet,18.52,42.34,7.76
2017-07-19,24.77,29.1,90.15,7,Wet,20.94,47.5,13.29
2017-07-20,25.16,14.11,43.11,7,Wet,20.44,48.52,8.8
2017-07-21,24.97,12.11,41.21,7,Wet,20.59,51.23,8.87
2017-07-22,23.87,10.99,25.89,7,Wet,18.88,49.15,7.41
2017-07-23,24.73,14.49,27.16,7,Wet,16.81,45.22,7.38
2017-07-24,22.19,15.13,24.27,7,Wet,16.5,41.43,4.17
2017-07-25,24.39,23.66,62.64,7,Wet,17.08,44.92,9.73
2017-07-26,25.73,12.8,52.36,7,Wet,14.75,39.52,8.74
2017-07-27,23.3,12.03,39.61,7,Wet,14.46,39.02,7.19
2017-07-28,24.92,25.31,38.1,7,Wet,16.34,38.58,8.28
2017-07-29,25.77,15.41,39.55,7,Wet,16.97,40.53,11.31
2017-07-30,24.69,19.61,59.9,7,Wet,17.71,45.2,10.75
2017-07-31,25.03,24.23,44.34,7,Wet,19.01,48.07,10.44
2017-08-01,20.97,48.68,59.92,8,Wet,22.58,47.68,13.92
2017-08-02,21.6,21.29,43.22,8,Wet,23.79,46.38,9.59
2017-08-03,23.97,14.96,39.04,8,Wet,24.21,46.3,7.75
2017-08-04,23.5,25.11,57.47,8,Wet,24.18,49.06,11.83
2017-08-05,23.03,13.9,19.05,8,Wet,23.97,46.13,5.05
2017-08-06,22.27,28.94,54.85,8,Wet,25.3,45.41,10.55
2017-08-07,22.82,14.69,34.78,8,Wet,23.94,44.05,6.86
2017-08-08,24.27,13.3,35.29,8,Wet,18.88,40.53,6.84
2017-08-09,22.43,18.79,52.57,8,Wet,18.53,41.86,11.41
2017-08-10,23.24,21.05,33.82,8,Wet,19.4,41.12,5.35
2017-08-11,23.21,13.43,42.55,8,Wet,17.73,38.99,7.98
2017-08-12,21.87,15.29,47.04,8,Wet,17.93,42.99,6.51
2017-08-13,21.95,21.94,53.35,8,Wet,16.93,42.77,8.82
2017-08-14,24.06,19.8,52.91,8,Wet,17.66,45.36,10.56
2017-08-15,23.11,21.47,52.9,8,Wet,18.83,47.88,9.88
2017-08-16,21.86,29.18,60.54,8,Wet,20.31,49.02,10.26
2017-08-17,22.22,20.57,37.65,8,Wet,20.24,49.56,7.61
2017-08-18,21.55,32.74,69.85,8,Wet,23.0,53.46,13.87
2017-08-19,23.6,25.71,38.72,8,Wet,24.49,52.27,8.68
2017-08-20,22.28,15.39,46.02,8,Wet,23.55,51.23,9.36
2017-08-21,22.3,29.78,47.01,8,Wet,24.98,50.38,10.5
2017-08-22,23.38,20.26,29.03,8,Wet,24.8,46.97,6.87
2017-08-23,20.86,27.77,46.52,8,Wet,24.6,44.97,11.92
2017-08-24,22.5,21.63,46.12,8,Wet,24.75,46.18,9.98
2017-08-25,22.52,36.5,73.07,8,Wet,25.29,46.64,11.33
2017-08-26,22.25,13.31,58.84,8,Wet,23.52,49.52,10.34
2017-08-27,21.99,17.23,42.48,8,Wet,23.78,49.01,8.05
2017-08-28,21.83,23.16,34.64,8,Wet,22.84,47.24,9.09
2017-08-29,22.82,19.48,32.52,8,Wet,22.73,47.74,6.93
2017-08-30,21.53,13.93,48.86,8,Wet,20.75,48.08,8.72
2017-08-31,22.7,34.77,64.9,8,Wet,22.62,50.76,13.14
2017-09-01,21.45,8.05,30.36,9,Dry,18.56,44.66,6.91
2017-09-02,21.51,16.62,31.56,9,Dry,19.03,40.76,5.31
2017-09-03,22.2,12.45,49.88,9,Dry,18.35,41.82,7.84
2017-09-04,21.5,14.72,29.5,9,Dry,17.14,41.08,5.6
2017-09-05,23.27,3.11,28.05,9,Dry,14.81,40.44,4.18
2017-09-06,21.86,8.3,41.37,9,Dry,14.0,39.37,8.3
2017-09-07,23.05,14.98,21.97,9,Dry,11.18,33.24,4.8
2017-09-08,21.24,16.55,52.77,9,Dry,12.39,36.44,6.66
2017-09-09,21.22,15.57,66.25,9,Dry,12.24,41.4,10.64
2017-09-10,20.34,4.72,34.91,9,Dry,11.13,39.26,7.45
2017-09-11,21.51,1.82,31.11,9,Dry,9.29,39.49,5.64
2017-09-12,21.77,2.76,32.65,9,Dry,9.24,40.15,3.29
2017-09-13,22.08,8.62,39.14,9,Dry,9.29,39.83,5.52
2017-09-14,22.7,9.27,30.12,9,Dry,8.47,40.99,6.52
2017-09-15,22.62,8.59,25.63,9,Dry,7.33,37.12,3.56
2017-09-16,23.14,3.19,29.02,9,Dry,5.57,31.8,4.12
2017-09-17,21.11,5.54,35.97,9,Dry,5.68,31.95,5.32
2017-09-18,22.03,24.61,39.71,9,Dry,8.94,33.18,5.87
2017-09-19,21.0,11.14,25.44,9,Dry,10.14,32.15,4.12
2017-09-20,22.41,8.18,32.14,9,Dry,10.07,31.15,1.24
2017-09-21,23.8,24.25,36.07,9,Dry,12.21,32.0,5.54
2017-09-22,20.8,27.96,59.08,9,Dry,14.98,36.78,9.48
2017-09-23,22.69,6.01,0.4,9,Dry,15.38,32.69,0.3
2017-09-24,23.05,11.19,27.27,9,Dry,16.19,31.44,6.47
2017-09-25,21.11,2.22,45.91,9,Dry,12.99,32.33,4.27
2017-09-26,22.44,1.66,29.11,9,Dry,11.64,32.85,3.53
2017-09-27,21.64,7.19,37.59,9,Dry,11.5,33.63,5.48
2017-09-28,21.88,3.02,31.12,9,Dry,8.46,32.93,5.58
2017-09-29,21.61,5.55,28.16,9,Dry,5.26,28.51,1.93
2017-09-30,21.78,10.42,49.29,9,Dry,5.89,35.49,7.84
2017-10-01,23.69,41.06,57.13,10,Dry,10.16,39.76,10.7
2017-10-02,22.46,31.41,46.85,10,Dry,14.33,39.89,8.02
2017-10-03,21.93,26.07,57.42,10,Dry,17.82,43.94,10.71
2017-10-04,22.6,49.0,49.89,10,Dry,23.79,45.69,12.1
2017-10-05,20.41,29.1,50.42,10,Dry,27.51,48.45,10.04
2017-10-06,21.72,36.69,54.16,10,Dry,31.96,52.17,12.4
2017-10-07,23.78,37.68,57.1,10,Dry,35.86,53.28,12.73
2017-10-08,22.39,28.13,47.62,10,Dry,34.01,51.92,11.19
2017-10-09,22.06,20.59,50.22,10,Dry,32.46,52.41,11.33
2017-10-10,22.71,25.01,61.0,10,Dry,32.31,52.92,13.83
2017-10-11,23.27,25.21,54.76,10,Dry,28.91,53.61,10.14
2017-10-12,23.86,28.35,49.31,10,Dry,28.81,53.45,13.34
2017-10-13,22.08,27.02,57.93,10,Dry,27.43,53.99,9.77
2017-10-14,22.11,27.33,59.35,10,Dry,25.95,54.31,11.75
2017-10-15,22.31,28.75,56.61,10,Dry,26.04,55.6,12.47
2017-10-16,23.57,29.99,64.48,10,Dry,27.38,57.63,13.37
2017-10-17,22.59,21.77,23.94,10,Dry,26.92,52.34,7.04
2017-10-18,24.7,29.87,54.16,10,Dry,27.58,52.25,11.4
2017-10-19,22.37,33.88,60.18,10,Dry,28.37,53.81,12.14
2017-10-20,24.3,49.27,54.6,10,Dry,31.55,53.33,12.98
2017-10-21,21.64,29.61,55.9,10,Dry,31.88,52.84,12.85
2017-10-22,21.15,35.98,67.94,10,Dry,32.91,54.46,14.29
2017-10-23,22.43,33.02,54.18,10,Dry,33.34,52.99,11.49
2017-10-24,23.68,24.52,56.18,10,Dry,33.74,57.59,13.1
2017-10-25,22.06,30.07,64.28,10,Dry,33.76,59.04,13.84
2017-10-26,21.92,42.86,77.72,10,Dry,35.05,61.54,17.1
2017-10-27,23.56,42.08,75.28,10,Dry,34.02,64.5,16.84
2017-10-28,23.24,42.06,77.3,10,Dry,35.8,67.55,15.89
2017-10-29,21.74,64.38,76.51,10,Dry,39.86,68.78,18.23
2017-10-30,21.69,33.75,53.1,10,Dry,39.96,68.63,14.61
2017-10-31,23.37,26.18,26.21,10,Dry,40.2,64.34,10.78
2017-11-01,22.37,33.98,46.53,11,Dry,40.76,61.81,12.66
2017-11-02,25.08,23.97,61.36,11,Dry,38.06,59.47,13.26
2017-11-03,24.69,32.36,49.84,11,Dry,36.67,55.84,13.56
2017-11-04,21.72,23.77,52.99,11,Dry,34.06,52.36,10.66
2017-11-05,24.02,24.96,52.38,11,Dry,28.42,48.92,11.34
2017-11-06,22.02,21.57,59.66,11,Dry,26.68,49.85,10.92
2017-11-07,22.79,31.72,35.17,11,Dry,27.48,51.13,9.4
2017-11-08,23.5,41.3,66.56,11,Dry,28.52,54.0,15.14
2017-11-09,22.73,29.65,57.08,11,Dry,29.33,53.38,12.88
2017-11-10,26.22,28.75,44.42,11,Dry,28.82,52.61,11.53
2017-11-11,24.86,25.29,59.83,11,Dry,29.03,53.59,13.39
2017-11-12,25.37,37.09,45.68,11,Dry,30.77,52.63,11.61
2017-11-13,23.86,39.07,71.9,11,Dry,33.27,54.38,15.42
2017-11-14,24.03,22.34,26.31,11,Dry,31.93,53.11,8.1
2017-11-15,25.58,30.3,45.19,11,Dry,30.35,50.06,11.08
2017-11-16,24.43,36.67,57.93,11,Dry,31.36,50.18,12.49
2017-11-17,24.61,26.13,53.08,11,Dry,30.98,51.42,11.43
2017-11-18,23.09,21.98,28.9,11,Dry,30.51,47.0,8.64
2017-11-19,23.08,23.6,59.31,11,Dry,28.58,48.95,10.5
2017-11-20,24.26,43.65,72.45,11,Dry,29.24,49.03,16.64
2017-11-21,24.37,38.61,79.92,11,Dry,31.56,56.68,14.57
2017-11-22,23.0,40.24,69.22,11,Dry,32.98,60.12,13.7
2017-11-23,24.36,22.76,40.84,11,Dry,30.99,57.67,11.49
2017-11-24,22.78,36.56,48.53,11,Dry,32.48,57.02,13.03
2017-11-25,24.01,44.67,61.53,11,Dry,35.73,61.69,15.52
2017-11-26,22.56,25.0,71.81,11,Dry,35.93,63.47,15.06
2017-11-27,25.33,27.55,52.51,11,Dry,33.63,60.62,12.34
2017-11-28,23.69,30.62,55.4,11,Dry,32.49,57.12,11.54
2017-11-29,23.31,31.94,69.34,11,Dry,31.3,57.14,14.02
2017-11-30,22.85,26.4,39.48,11,Dry,31.82,56.94,9.68
2017-12-01,24.76,37.88,65.7,12,Wet,32.01,59.4,15.36
2017-12-02,26.44,33.37,61.86,12,Wet,30.4,59.44,13.4
2017-12-03,27.0,24.18,58.92,12,Wet,30.28,57.6,11.49
2017-12-04,26.9,37.09,68.19,12,Wet,31.64,59.84,14.31
2017-12-05,27.4,27.98,51.79,12,Wet,31.26,59.33,12.57
2017-12-06,27.75,33.78,43.19,12,Wet,31.53,55.59,10.87
2017-12-07,26.96,24.51,43.96,12,Wet,31.26,56.23,9.91
2017-12-08,25.5,24.74,58.21,12,Wet,29.38,55.16,12.25
2017-12-09,26.17,21.81,66.0,12,Wet,27.73,55.75,12.79
2017-12-10,23.74,39.49,49.37,12,Wet,29.91,54.39,11.67
2017-12-11,26.64,35.96,45.88,12,Wet,29.75,51.2,10.9
2017-12-12,26.15,30.67,38.8,12,Wet,30.14,49.34,10.31
2017-12-13,27.6,22.65,40.45,12,Wet,28.55,48.95,8.0
2017-12-14,25.26,41.73,72.86,12,Wet,31.01,53.08,13.38
2017-12-15,26.52,33.59,70.04,12,Wet,32.27,54.77,13.4
2017-12-16,25.0,26.4,30.33,12,Wet,32.93,49.67,8.77
2017-12-17,25.89,31.42,43.09,12,Wet,31.77,48.78,10.94
2017-12-18,24.36,27.81,38.33,12,Wet,30.61,47.7,11.13
2017-12-19,27.36,33.6,48.21,12,Wet,31.03,49.04,12.26
2017-12-20,27.05,23.85,46.86,12,Wet,31.2,49.96,10.33
2017-12-21,25.53,21.07,42.88,12,Wet,28.25,45.68,9.23
2017-12-22,26.26,32.72,61.32,12,Wet,28.13,44.43,11.01
2017-12-23,26.04,34.18,38.08,12,Wet,29.24,45.54,9.89
2017-12-24,25.39,21.81,42.24,12,Wet,27.86,45.42,8.89
2017-12-25,26.12,20.6,60.15,12,Wet,26.83,48.53,11.51
2017-12-26,25.56,30.76,68.65,12,Wet,26.43,51.45,12.23
2017-12-27,26.98,33.04,73.08,12,Wet,27.74,55.2,14.73
2017-12-28,25.79,27.57,55.99,12,Wet,28.67,57.07,13.72
2017-12-29,28.39,24.09,42.72,12,Wet,27.44,54.42,10.16
2017-12-30,25.92,49.39,71.26,12,Wet,29.61,59.16,16.18
2017-12-31,26.11,32.22,81.05,12,Wet,31.09,64.7,16.62
2018-01-01,28.53,19.32,40.15,1,Wet,30.91,61.84,10.03
2018-01-02,28.84,3.27,50.94,1,Wet,26.98,59.31,10.03
2018-01-03,28.08,21.3,22.67,1,Wet,25.31,52.11,7.64
2018-01-04,28.51,11.89,45.23,1,Wet,23.07,50.58,9.04
2018-01-05,28.18,27.47,58.45,1,Wet,23.55,52.82,11.0
2018-01-06,27.22,13.78,44.76,1,Wet,18.46,49.04,8.6
2018-01-07,26.95,9.53,42.02,1,Wet,15.22,43.46,7.78
2018-01-08,28.7,8.33,41.89,1,Wet,13.65,43.71,8.65
2018-01-09,29.52,5.15,39.82,1,Wet,13.92,42.12,7.58
2018-01-10,26.37,8.39,33.41,1,Wet,12.08,43.65,8.31
